"NO_ALUNO";"NU_CPF";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA"
"EKzDVa KlWeIx BqhqpQ";"52622378560";"1965103";"INTEGRALIZADA"
"rNogAu NOmpzF HoFeXU";"27916485170";"1965103";"INTEGRALIZADA"
"vlVHRE cluJjR mPUVrE";"57502854756";"1965103";"INTEGRALIZADA"
"NHRFSJ VwXwRI YKovmR";"60193971585";"1965103";"INTEGRALIZADA"
"ZEDlTp EOSqjR ZyPRQr";"00197286576";"1965103";"INTEGRALIZADA"
"jRzcUo eiDpVI jOKQWJ";"69509772909";"1965103";"INTEGRALIZADA"
"pNFUwJ pDCEIM ZJLdeF";"29174513034";"1965103";"INTEGRALIZADA"
"gRxhON VPUCwq uaCJOV";"52189806790";"1965103";"ABANDONO"
"XkGRye jWsdNT XMKQOP";"82738137479";"1965103";"ABANDONO"
"GtgjrA tHNdnR opARMI";"61959714205";"1965103";"CONCLUÍDA"
"pqysqn hGbMmJ krBzbw";"62265451029";"1965103";"CONCLUÍDA"
"AILUNi aASagL QjJwSe";"79902226578";"1965103";"CONCLUÍDA"
"ojXSVK uRwYoD MkSoly";"46682504921";"1965103";"CONCLUÍDA"
"fucwit ZBheGr dJTInm";"22733338007";"1965103";"CONCLUÍDA"
"CXaeAO StdNRd qNkXEy";"82720985721";"1980940";"CONCLUÍDA"
"DziCzo YVZcVN mSSrzh";"18723172314";"1980940";"CONCLUÍDA"
"yJxGnO NFVpSf MIBqjc";"16458304718";"1980940";"CONCLUÍDA"
"eFogEt IORHQA qtImNj";"53162145611";"1980940";"CONCLUÍDA"
"dEChUG AbpUWN LblzUq";"16709958338";"1980940";"CONCLUÍDA"
"WDHDUF idGcgC nIkWaZ";"02371505726";"1980940";"CONCLUÍDA"
"ZrPFJo iiwfAA UNJAmU";"21033428560";"1980940";"CONCLUÍDA"
"CgMogo RBfnaW VVpxSu";"32220321283";"1980940";"CONCLUÍDA"
"jgNphf BBIbMF oGJGzM";"57553993469";"1980940";"CONCLUÍDA"
"wCeoyA iIqfIB YMrGRM";"45437428479";"1980940";"CONCLUÍDA"
"Nqrhet qUVfdP fSzIAo";"37154814382";"1980940";"CONCLUÍDA"
"wqcuSC JuCyBL bwCwbX";"90871327478";"1980940";"CONCLUÍDA"
"uWrxla geyXIf jqmHBm";"16606904706";"1980940";"CONCLUÍDA"
"HtiQTk auDZzw skoGlE";"93605302464";"1980940";"CONCLUÍDA"
"Okvblr bxfqXA NrMAHj";"60026455324";"1980940";"CONCLUÍDA"
"cDACTV DHzVhE yxuLdA";"84438701764";"1980940";"INTEGRALIZADA"
"OQGYxH bAsixu iCXtRQ";"39401558415";"1980940";"INTEGRALIZADA"
"KKCcEY PtwhFO eUhBYz";"51976264725";"1980940";"INTEGRALIZADA"
"vNWkxq FyNaqQ eeOPBw";"24500938400";"1980940";"INTEGRALIZADA"
"DKpNoj cTOBEm YRixxX";"79040944090";"1980940";"ABANDONO"
"LBArMW jcqhCt ISmTnT";"30378480673";"1980940";"ABANDONO"
"QiptBn wxwUur YYhSAC";"06625869286";"1980940";"DESLIGADO"
"hxImCu Nsiyyg ebrFIu";"42598414983";"1980940";"DESLIGADO"
"dSGdtF goBAmY JohwnZ";"48325444384";"1980940";"DESLIGADO"
"uoQFAd GlXPLB LbzkfH";"25196887475";"1980940";"DESLIGADO"
"EFNiHG PTvKNd PGJdmo";"68445348045";"1980940";"DESLIGADO"
"UiqaKe LqOKQi PLJtur";"12425466261";"1980940";"DESLIGADO"
"VkLElw dSxAxi mgOVaM";"36723815755";"1980940";"DESLIGADO"
"RorXpH ZfBqSb evYtLs";"42487811594";"1980940";"DESLIGADO"
"KorEpK xKtaAW whMUFR";"21625517059";"1980940";"DESLIGADO"
"uNGsrh qEtzEB wxZYfj";"40367192793";"1980940";"DESLIGADO"
"fZMTlE mNpzfc gmbdHd";"86210028768";"1980940";"DESLIGADO"
"okFTfG FaVWsQ hTuiVT";"33004493314";"1980940";"DESLIGADO"
"JdDXtF cRJEjL yWhtUi";"60977473940";"1980940";"DESLIGADO"
"omSeZd ekaOPg Kmwupx";"65915480408";"1980940";"DESLIGADO"
"wrAlLu hrCcrq RRiTMD";"71036764922";"1980940";"EM_CURSO"
"BGlKXa emHfuP imRKrA";"11725387552";"1980940";"EM_CURSO"
"bKFgHM SvUglX zuZUGy";"21631653500";"1980940";"DESLIGADO"
"avLJgZ SsNDpI OCjXgh";"04301632621";"1980940";"EM_CURSO"
"pBniST FKZJru SuIjxi";"97338008766";"1980940";"ABANDONO"
"QOLtvK lnGxYp KGrpfT";"64343578321";"1980940";"ABANDONO"
"agYNoK qqOylu WcsmAd";"77949039776";"1980940";"DESLIGADO"
"RodQgu MzdPug iQkYDc";"68093306167";"1980940";"DESLIGADO"
"hTKHUb REKrGh lWDmjq";"65087595383";"1980940";"DESLIGADO"
"SvQbZe nVvStS TyYpVe";"35951075634";"1980940";"DESLIGADO"
"uRnGmZ vrKCyC ZIdiGK";"84515743433";"1980940";"EM_CURSO"
"feGppz zBWOmC NkDBNt";"92749298675";"1980940";"EM_CURSO"
"zXLQuj CzRlgg zsItWw";"02245008918";"1980940";"INTEGRALIZADA"
"EJVLLr ZOGiwZ JmYLfv";"99150176877";"1980940";"INTEGRALIZADA"
"dwgNUA abCvst GdYmqs";"01361455155";"1980940";"EM_CURSO"
"qkhNPZ ctnfLE xjVaCa";"89589726661";"1980940";"EM_CURSO"
"VxFKUu NhNZiP VPnpUF";"07742860718";"1980940";"ABANDONO"
"BBaFnD fHSWEB MYjZEJ";"69593956655";"1980940";"ABANDONO"
"FTWyrI NTMSVs DzzkdE";"73548267222";"1980940";"EM_CURSO"
"tpVnji bVtBzk vrAeLv";"16728222540";"1980940";"EM_CURSO"
"dMejkS hMYEgk vbIcFF";"87090404155";"1980940";"EM_CURSO"
"bjjqUH QfaBGN TpPaXz";"56787942436";"1980940";"ABANDONO"
"WCHvme DpmxUL VDJbwr";"53981852429";"1980940";"ABANDONO"
"UzBvLR OPlUBg VJuqeC";"07413748611";"1980940";"ABANDONO"
"oQNeLL fQYctM MtgVoJ";"71770432857";"1980940";"ABANDONO"
"XvHxIK gYLOwR mersOo";"66198069546";"1980940";"DESLIGADO"
"xoYqXz agaPRY KPQcOf";"17010037543";"1980940";"INTEGRALIZADA"
"kGOias hJsGfG JnAjiy";"36695132095";"1980940";"INTEGRALIZADA"
"tPRlOB cxssaM pHhoFC";"88674438532";"1980940";"INTEGRALIZADA"
"HvkYCL IxPAkm fmDdPW";"02678551542";"1980940";"INTEGRALIZADA"
"cMHUDl wsxrUx EpHUzf";"91382410911";"1980940";"INTEGRALIZADA"
"iKOPqz MQTSvA jgHOvO";"39236195211";"1980940";"INTEGRALIZADA"
"Erxkoy JwDrbm sBGupM";"34034911728";"1980940";"INTEGRALIZADA"
"FWwgnc UqYRWw OiJuNH";"42378169183";"1980940";"INTEGRALIZADA"
"eSOKab IcMCaW eMtCzf";"98388435564";"1980940";"ABANDONO"
"fktFjb sYnDSY fFuotS";"56389008651";"1980940";"CONCLUÍDA"
"eWwiIB GLQVeZ GlunKV";"20603868665";"1980940";"CONCLUÍDA"
"qyaFZr YfOJFE OtXdiY";"77921316206";"1980940";"CONCLUÍDA"
"GqrgNx ZKaLkw rFHATN";"36546443290";"1980940";"CONCLUÍDA"
"xYsWda oAXAAf iRTQkV";"45369225072";"1980940";"INTEGRALIZADA"
"kBUCpf jFazpi iixSct";"44046175432";"1980940";"INTEGRALIZADA"
"bbNSEN HWOCxj udxexx";"12209136987";"1980940";"INTEGRALIZADA"
"KJTndB mCJhuz VKqTmu";"41828079765";"1980940";"INTEGRALIZADA"
"PRmxuj pZWlBI YZVPNu";"66464175751";"1980940";"INTEGRALIZADA"
"rxaVEn nMxWNI ALYNxv";"71003525643";"368537";"ABANDONO"
"nAFMqg pTaIGY knhcax";"15464172097";"368537";"CONCLUÍDA"
"ZrBajZ ZoHKvv OALupQ";"95536827913";"368537";"DESLIGADO"
"aWOgvW fVnRWc mIJBkt";"63024265702";"368537";"CONCLUÍDA"
"rRpdOs zUhCNS sYbDHV";"29533865480";"368537";"ABANDONO"
"hiKnBO JrLqFN zobRWh";"44785277180";"368537";"ABANDONO"
"EggLRH NaKnae vAJnMu";"18133931032";"368537";"CONCLUÍDA"
"LWapQv Tnczuv qmKLLt";"56596271831";"368537";"CONCLUÍDA"
"huydKi NLFOyl UaUNvJ";"21393821380";"368537";"CONCLUÍDA"
"COIYfa BDFFdK gjqncv";"27794196411";"368537";"CONCLUÍDA"
"iSxxwO IGcjgk qfxydU";"87586762633";"368537";"CONCLUÍDA"
"CFtXkw xelCbH naKpDw";"71294026739";"368537";"ABANDONO"
"Vxxqco ispTso TorAbn";"11401107524";"368537";"ABANDONO"
"JnSWtO wNckKW FWQNDL";"61351912006";"368537";"ABANDONO"
"MZDsAh WHFAms FipRig";"87412305438";"368537";"ABANDONO"
"yADLAl AQFGKi dKMUWx";"77328964733";"368537";"ABANDONO"
"clrdGU kdSudE oYSuwl";"54245652384";"368537";"ABANDONO"
"RpoaLn GEbOEs zFOIOb";"70894284371";"368537";"ABANDONO"
"ySaoMO erMsRQ DbABSM";"13657400813";"368537";"ABANDONO"
"nWhYLw pzNsKK fZhpoY";"01610594235";"368537";"ABANDONO"
"AqgEMo hoHreY WNvixp";"67809271088";"368537";"ABANDONO"
"WBchEB IFsfPP SDoqaW";"06954147523";"368537";"ABANDONO"
"HCPBXj RPnBai oPSnGn";"49013343433";"368537";"ABANDONO"
"yhipXr nalovX QJeSWf";"73477322944";"368537";"ABANDONO"
"NGxSHe HaLtwC YMhdcV";"19622459875";"368537";"ABANDONO"
"vKUhZK ZuLfJU eZAsdO";"01950709324";"368537";"ABANDONO"
"JIMswp VVxenN RdWEjv";"43076875344";"368537";"ABANDONO"
"FAHyky XTLurk IIUmRX";"30634154706";"368537";"ABANDONO"
"UOvxaW JPbumR iuLBap";"83883741568";"368537";"ABANDONO"
"HFJUid lPnrVQ xwmjNE";"45579245274";"368537";"ABANDONO"
"DIKObA zTBxAD xszByV";"38499064990";"368537";"ABANDONO"
"brAKUb YsHGpG OsbVIa";"20663888829";"368537";"ABANDONO"
"SiJNUE kseROo CGpxbR";"52262986143";"368537";"ABANDONO"
"zTEIlI NfwAnK CulDJJ";"15414020699";"368537";"ABANDONO"
"GfkiZg IBBAhL FsnonD";"23258069185";"368537";"ABANDONO"
"bawSLy gLBxhL Dvnyty";"57963326024";"368537";"ABANDONO"
"jOoSKl AzoyZx UoGtXx";"76083725112";"368537";"DESLIGADO"
"pRdAVF zIRXut PMFgZm";"05504864502";"368537";"ABANDONO"
"ZbDmvJ zqNSJr QAzbTl";"36676073032";"368537";"ABANDONO"
"GVoMtm ksQnvF xRbWFj";"63054703561";"368537";"ABANDONO"
"ODkwsQ iWvFed lSrXes";"40652399457";"368537";"ABANDONO"
"bOKnzt RFuuDn TNLjHQ";"65044363654";"368537";"ABANDONO"
"zXBuaI XqCERB myntIS";"24187012020";"368537";"ABANDONO"
"RYKBIQ BaUMvq YiIZmx";"13562675739";"368537";"ABANDONO"
"iEkrxR jiTliE bDgSRO";"78126128321";"368537";"ABANDONO"
"mdRUpO xBBlqK sPOlnP";"37318488575";"368537";"ABANDONO"
"wvrKXi vizfEv zfyvLH";"82957417618";"368537";"ABANDONO"
"fKcUyZ fgvOjS nSIcVf";"36222973083";"368537";"ABANDONO"
"kDfXEQ AxwxJN kFMpkg";"00427762396";"368537";"ABANDONO"
"UnUxeV yyjiMS TuLxbc";"68374378313";"368537";"ABANDONO"
"QEtAmo KUUVZV wyKhwB";"39152239807";"368537";"ABANDONO"
"fwlNfJ UMELst MtzRGW";"39037599945";"368537";"ABANDONO"
"RgMPqD ccnTKO FHlFTY";"41376082853";"368537";"ABANDONO"
"zQmsLI HUeUeS rcJgPV";"74311165702";"368537";"ABANDONO"
"zcLlxS IVzGGQ ByQezU";"04414229302";"368537";"CONCLUÍDA"
"eYUvDN jemWTi TbVgqd";"98943169183";"368537";"CONCLUÍDA"
"LHoMeV VzyJzS winfjH";"33275196519";"368537";"CONCLUÍDA"
"DOnJqK EcoEtU NrODVc";"59112995456";"368537";"CONCLUÍDA"
"RhnEhP cWxBUB YuFqde";"68519437768";"368537";"CONCLUÍDA"
"nEQXds rDkVwk tufORr";"82022175779";"368537";"CONCLUÍDA"
"yvxBtv wduhYW pCEsBt";"79877528478";"368537";"ABANDONO"
"DuKzUO yeoSpE fCQuFw";"37621828613";"368537";"CONCLUÍDA"
"sQVfrT DWnhaX sWHaEw";"38255597780";"368537";"CONCLUÍDA"
"mxYbJB bPdeXz zbGiNv";"31966894988";"368537";"CONCLUÍDA"
"dPrVpy iSTJtv UwiFJM";"40119172663";"368537";"CONCLUÍDA"
"qsMOyc CTQvmj tiiCfA";"73565580665";"368537";"CONCLUÍDA"
"kVCqGG fKLKRe afrYLc";"72090861125";"368537";"CONCLUÍDA"
"NNCIRI tnpWuT xoxFOY";"39961552256";"368537";"CONCLUÍDA"
"KkBjhk egSIyD BoJRsQ";"83714618840";"368537";"CONCLUÍDA"
"mejVqP OxpEie TWVJYF";"51958408564";"368537";"CONCLUÍDA"
"KNEqrA axbVIm zmSMIH";"24634199861";"368537";"CONCLUÍDA"
"cyRnlL NRTccv TQFCHv";"60890281266";"368537";"CONCLUÍDA"
"BpAXmX uwwTPm nRyENh";"86013673205";"368537";"CONCLUÍDA"
"BRmiNt oNggol GwDwDQ";"44047901167";"368537";"CONCLUÍDA"
"mcQHWy SBtocx iVgyWQ";"83106936279";"368537";"CONCLUÍDA"
"JhUcNt dBnQpL HpJscH";"82437759000";"368537";"CONCLUÍDA"
"bciXZu jYmAZJ uItxqd";"28327465020";"368537";"CONCLUÍDA"
"JQMeUW sOnEEm aRkndB";"76165024307";"368537";"CONCLUÍDA"
"INEpvK DDbwzc RGTSuk";"01402032353";"368537";"DESLIGADO"
"ceKzht cUwXLb AYfNmD";"00595014954";"368537";"CONCLUÍDA"
