"NO_ALUNO";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA";"NU_CPF"
"sKBeBZ rIBAXN VKCQWh";"1849131";"ABANDONO";35108332576
"bfrZEF drpTes BAOqcd";"1849131";"CONCLUÍDA";26503221889
"cMudRh geQNys jmDPMs";"1849131";"ABANDONO";30293586205
"FkPEGi ndgoKD kgyXoj";"1849131";"ABANDONO";64177653027
"wwrEmC Ydqztd ZbjPEN";"1849131";"ABANDONO";66220376075
"MDEjss EuDwhC MUZpvn";"1849131";"ABANDONO";28340653935
"wZOtOH swhdXw qjZytR";"1849131";"ABANDONO";57744526401
"lwNVmm BviEoy lpIHDk";"1849131";"ABANDONO";2378124036
"XBTdWl CiGvvC TqCTNm";"1849131";"ABANDONO";58730250116
"CyBOKp QFvDDo xVgpSm";"1849131";"ABANDONO";89509241016
"KJjTXD HIAxCD jRbzqg";"1849131";"ABANDONO";47939624774
"iKXkAR poqSwA HFGdxi";"1849131";"ABANDONO";4272161268
"AcfKUJ gNSCFp ppMmeX";"1849131";"ABANDONO";53581187244
"aOYnAl yDqtgP sURAPI";"1849131";"ABANDONO";49333525080
"dhkhIn VpRwYZ YHolis";"1849131";"ABANDONO";73993811889
"tzueri ReCxbf BPwJSx";"1849131";"EM_CURSO";70164133353
"QMkEjf sgJUMD HmIkgw";"1849131";"ABANDONO";46471716994
"ZSVEqF KUNNRy KPSuWG";"1849131";"ABANDONO";21087269603
"sZLrUl VTawHs CTPYIs";"1849131";"ABANDONO";40006359452
"llQrdp ZPojLy dGaNVZ";"1849131";"ABANDONO";56681867327
"ZIpkhs SMGSIO EJtFpF";"2466005";"ABANDONO";31842070074
"ZPvJil NjRfrd rJSzdv";"2466005";"CONCLUÍDA";44679448001
"XADCwC YnLaBJ Bmefnr";"2466005";"ABANDONO";23777672924
"OiRFNH dZnNZa qhgvTw";"2466005";"ABANDONO";46885136012
"iwvXSU eFvorC KWHcrA";"2466005";"ABANDONO";32876073746
"IkXftZ wdWBYW sNUNzN";"2466005";"ABANDONO";87375733049
"katKMh bAAvfl LoWnLx";"2466005";"ABANDONO";29122355404
"dlswXt UeuiPE nzOjPx";"2466005";"CONCLUÍDA";73945556247
"XXFfdm paDreM ANVuWP";"2466005";"ABANDONO";71374567335
"yRMize zzEmJx qpqgku";"2466005";"CONCLUÍDA";72276866396
"EfIONu ZMxCFR Jhfdan";"2466005";"ABANDONO";41244236772
"XzHkwR epwgSB GUxhRU";"2466005";"CONCLUÍDA";57404219151
"GQKThm EaliQu WxVaVM";"2466005";"ABANDONO";31045342545
"MpsYpO jJRyzs DmCvfF";"2466005";"CONCLUÍDA";16330253025
"MaJQoe vsPrlI AUftyg";"2466005";"CONCLUÍDA";62027364281
"qmwCeu gDYmNb qnSRNt";"2466005";"ABANDONO";50218858923
"psiLeZ pUITaf ACtVBP";"2466005";"ABANDONO";83416021543
"aoGNsx uxxXQE tBgarY";"2466005";"ABANDONO";96201603804
"KWQiKO VazaqN QmZxUI";"2466005";"ABANDONO";34148001378
"mMdCIw AASjED oXFbYu";"2466005";"ABANDONO";24717215846
"rphvhp TQBGHR Rmgija";"2466005";"ABANDONO";93629898333
"uiTbSN WNlqfp qqGxBj";"2466005";"ABANDONO";2704630129
"yzapMv dnoPZC EVfqJP";"2466005";"ABANDONO";98332452869
"yVACwk BPVFuu LLAkYD";"2466005";"ABANDONO";78255366736
"kIDRzC UskqWr rQcwRb";"2466005";"CONCLUÍDA";13785544974
"eyBkzs OAOOCF ZOqPTr";"2466005";"ABANDONO";96744381831
"IoTmeV GGHwBJ UlwEns";"2466005";"ABANDONO";29439366227
"tNlcuL oXACIl BhLziI";"2466005";"DESLIGADO";85512520117
"zuCicF ludwNg RmMmac";"2466005";"CONCLUÍDA";20343938453
"Uncxrb hjsvJi JdSebe";"2466005";"ABANDONO";89463631178
"YUagtk RcZtpv klmHyl";"2466005";"ABANDONO";14239192584
"hPYJfg dpUiar GWZNZq";"2466005";"ABANDONO";36431875871
"YcrhVF hFLWAT caGhNI";"2466005";"ABANDONO";45438461238
"biHqGh kbqpeo HrVWoU";"2466005";"ABANDONO";9687377214
"CnfTim hJjMWu qqZnmS";"2466005";"ABANDONO";80228538883
"UhMMpR cGBlmM ACAUrz";"2466005";"ABANDONO";18941121579
"fSgvMl iwXRls oNrflj";"2466005";"ABANDONO";15308050636
"JMWKrN Wovnxj sQWqcA";"2102961";"EM_CURSO";88454190515
"JMWKrN Wovnxj sQWqcA";"2466005";"ABANDONO";88454190515
"fHGRNt DGeMdT DQKuNz";"2466005";"DESLIGADO";98541722279
"VadpJk iBhVMA zqjuFl";"2466005";"ABANDONO";14794627695
"LhXaWz lCLMwe otcUvV";"2466005";"ABANDONO";91680017026
"SrepZL ojMqvp xkKWTg";"2466005";"ABANDONO";27187538074
"LbdtXQ TeADxG yVWvEA";"2466005";"DESLIGADO";26208656621
"bMYnKa YCseuN dcrAjv";"2466005";"ABANDONO";90938755743
"GeedJr XvOSWT gqquEb";"2466005";"CONCLUÍDA";38044514206
"lUVEBf Jtuskq bbAeBf";"2466005";"CONCLUÍDA";11960572186
"iqzOwz LvVUuH YrOhKP";"2466005";"ABANDONO";14236159525
"pQDSoJ QNCtpM efXfJa";"2466005";"ABANDONO";99836298555
"pQDSoJ QNCtpM efXfJa";"1965103";"ABANDONO";99836298555
"pQDSoJ QNCtpM efXfJa";"1980940";"ABANDONO";99836298555
"dHKzgP rxrnfi ianJpc";"2466005";"INTEGRALIZADA";8123027564
"ZRJoLP nDSywI PwuTeA";"2466005";"ABANDONO";47028628196
"hsGfjB SpBETh bWsFXd";"2466005";"ABANDONO";24445413865
"UMAiUB tAnCzK vheNYQ";"2466005";"ABANDONO";97675428718
"IxWABV FUTjTj VZSqOS";"2466005";"ABANDONO";30018963749
"sWhlRF KTIlss gHSXLP";"2466005";"CONCLUÍDA";38946290269
"WyVxzs Qmkvhs hKQDax";"2466005";"DESLIGADO";75159293815
"QGgDUs dODJrs xifKwl";"2466005";"ABANDONO";8676688915
"bEsAER YmMDlF cYdgBk";"2466005";"ABANDONO";23239406924
"NMynlo jIHKTr ClDWfO";"2466005";"CONCLUÍDA";78430614894
"FGmKOG Fpihux Bufene";"2466005";"ABANDONO";8888274536
"tKyGAJ IMNuwK uVLCio";"2466005";"EM_CURSO";12282370499
"JkgKxD UJahkI zIQGwn";"2466005";"CONCLUÍDA";18456364441
"PBpsfB tmRNcp kucBel";"2466005";"ABANDONO";46628309026
"Pwyecg PSTjgS HZfGgE";"2466005";"ABANDONO";58707211236
"xrrvyI KgQKdp ssFcWg";"2466005";"ABANDONO";28409496755
"cRFEiB pGcPZR RZaTDf";"2466005";"CONCLUÍDA";64666600786
"CgQXDi QUEuqN ANDsHe";"2466005";"ABANDONO";9190485584
"giwnEU jBwnNF CbCzVP";"2466005";"ABANDONO";8122759585
"XhdlXn IHcEDJ yWMhMM";"2466005";"CONCLUÍDA";29246066868
"PXvnTU gwrTNb poQzUI";"2466005";"CONCLUÍDA";81070333291
"jUYeIv SVNanf XrDxdf";"2466005";"CONCLUÍDA";31429543088
"BiEEBv zudUTS yyCcJG";"2466005";"CONCLUÍDA";29651007983
"RLkKCq dNEVFh RDmhFE";"2466005";"INTEGRALIZADA";13427330591
"RoutMW rxuatr MbJsvH";"2466005";"ABANDONO";97451877338
"OUkikq TwVnST cTgwJS";"2466005";"ABANDONO";61263665675
"BxhXIq OBNMIl cmZUag";"2466005";"ABANDONO";58458718672
"cnwYzt hiammQ wwlpzU";"2466005";"ABANDONO";90998490669
"xzIjNW kpYiXM syhTKi";"2466005";"ABANDONO";61479698244
"oSgcct QjtMPd uPpffO";"2466005";"DESLIGADO";67558188334
"MQkGbt KqBdCY XkhujU";"2466005";"ABANDONO";76395978351
"GkFpii TzIaBO AgbLvT";"2466005";"ABANDONO";31521900562
"dcCsun Dqvonf ozAaOd";"2466005";"ABANDONO";19119656625
"wqOLhq tdiluC EcYQkF";"2466005";"CONCLUÍDA";23480414153
"JmxIGV MuKEuo yGAwnu";"2466005";"ABANDONO";22204799501
"wOikue RasUzP isMCgs";"2466005";"ABANDONO";66168560365
"kTJQLx lyANII SXyBXs";"2466005";"ABANDONO";34591355703
"OCTMGy rqxxqH hFYiGq";"2466005";"ABANDONO";99975914779
"ZUGgmy hqgTcA OSTfMz";"2466005";"ABANDONO";26178087305
"lflhGw ZdiEag YnVymZ";"2466005";"TRANSF_EXT";79842658952
"WWZsWi INMxCK GakmrK";"1842217";"CONCLUÍDA";95851970640
"UbDfil JVvudF yzssEG";"1842217";"ABANDONO";93956846129
"ruTpBf VefohY KRHMoY";"1842217";"ABANDONO";71739640163
"XVhtub jbtrrq puVXMV";"1842217";"ABANDONO";26450475374
"hjcqrh HhHJbC ESWTHw";"1842217";"ABANDONO";17881424763
"jPCeuZ voMgrR BRPTjx";"1842217";"ABANDONO";12207227742
"XjhDjN wiLhfs BqNNdI";"1842217";"ABANDONO";37501602577
"RTSXGy Jmiucs FnNfXW";"1842217";"ABANDONO";29788414586
"xSpRyZ QpaDTb yfXnch";"1842217";"ABANDONO";53716017385
"XqcOxu NNBNOn TOviGw";"1842217";"ABANDONO";99369332203
"NzxtXa MsqNWh RgRHId";"1842217";"ABANDONO";66351714587
"yLUkLB repGTt WfoJub";"1842217";"DESLIGADO";39124212897
"KeTCKE fAQZFp gswFIj";"1842217";"INTEGRALIZADA";22536755209
"dLAwCd bBWNju icMpba";"1842217";"ABANDONO";22096874135
"iYrkVF DlNPJf PJooPK";"1842217";"ABANDONO";28216689112
"ItoQiG MStiHU jqevWe";"1842217";"CONCLUÍDA";72006264113
"wgplFK rgQiCz BydOkH";"1842217";"INTEGRALIZADA";32331184480
