"Nome Aluno";"Numero Cpf";"Co Ciclo Matricula";"Situação Matricula";"No Curso";"Dt Data Inicio";"Unidade Ensino"
"BDOyOL BYBHny iudbCM";"216.978.723-96";2608762;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bdZjUj mLbwtq xtDDsu";"432.229.668-15";2640318;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"beEpaC yDUoiT EBvFtX";"459.135.742-11";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BeUAVy ClOpQS bcLWQh";"871.183.156-55";2671191;"EM_CURSO";"ENGENHARIA CIVIL";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BeXTyg YKcWCo LnoWgz";"990.653.920-36";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bezTDh EGjmfh JrButH";"045.013.128-72";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bFobiz uAFhiC lFElGA";"589.664.725-80";2578406;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bFxylQ fLVAYd pvyyjs";"823.552.308-59";2671191;"EM_CURSO";"ENGENHARIA CIVIL";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BfyoMC GKHjso xVrAZJ";"020.754.229-56";2649729;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BGppZP giErCK cuIOsr";"103.715.672-24";2608762;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BgRCbs fodPKC ZpLKeQ";"145.602.333-26";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BHAoZL haZhWX kZWPlZ";"964.932.764-22";2580840;"DESLIGADO";"TÉCNICO EM ELETRÔNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BHByiZ qoLiOC zboRSj";"597.532.604-13";2608762;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BhEKcn oeyiMP esFNTv";"881.178.508-72";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BhHJEQ UsAVAA oMKpFf";"000.143.627-60";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BHpjYn tcwUxS nJvSlh";"872.066.543-36";2578401;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BhqEKL bkyWxh brZOXW";"592.278.568-39";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BHwAgU WXoaki WcTREd";"541.873.199-02";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BhxaPd pwiESb cvpHTG";"403.689.835-92";2608762;"EM_CURSO";"TÉCNICO EM MECÂNICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"biczZT NFCtMn ajbcoi";"575.314.374-51";2608770;"EM_CURSO";"ENGENHARIA MECÂNICA";"02/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bIeQEt VgXlep jXhPCz";"651.682.971-88";2628198;"EM_CURSO";"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BiEugz BMptfu cClhcq";"126.416.777-32";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BirtKy rZuhMy LMuVJJ";"736.009.398-01";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BixHkM wrNuul znfrYj";"860.926.553-70";2638114;"EM_CURSO";"GESTÃO AMBIENTAL";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BjiczW WybgnN GQwoFz";"194.727.685-12";2671186;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BjitIi ydTFsT LuaJwY";"767.047.568-65";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BJomkb AezUHl zgSHhk";"395.316.240-03";2659185;"EM_CURSO";"EDUCAÇÃO AMBIENTAL E CULTURAL";"01/10/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bKccQw FXwDlq kHUHOM";"110.261.861-21";2578401;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bkvPRq WKVCPl GvLLCL";"774.945.802-98";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BKwkGv xoOcrB RLvzpc";"571.820.342-09";2628198;"EM_CURSO";"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BLDAhH tmQSFL dgbKPx";"944.431.173-87";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bleITI guwVBy aYgVlI";"582.401.764-58";2575384;"EM_CURSO";"GESTÃO DE TURISMO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BLIsTM UcXqNh PMuVQz";"898.331.321-44";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bLnzdF eXaaCO swJlVj";"088.672.251-60";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BmAEXT nOWAVy zXwwmr";"547.999.406-77";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BmdfpU FAtUWw iFSHCN";"398.116.319-81";2578401;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bmNaba pMOtkV eIlkHz";"194.871.883-51";2592416;"EM_CURSO";"GESTÃO AMBIENTAL";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bMowDM QLPeAT pmwhxm";"221.305.157-72";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"Bmvujk Thyekc XSFZON";"786.049.992-39";2580857;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BMzLit swpQLS LTtSSR";"181.909.779-05";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BNbMpx EYxCHr oLMEcL";"151.799.004-68";2608765;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bNHjxx EkEUJO VHaTOs";"417.909.662-05";2592443;"EM_CURSO";"GEOGRAFIA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bNjwtx AOLjla ADGvZd";"355.481.706-04";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BnmpWX iNGGDC vhVUmh";"963.095.863-06";2578401;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bnNqjB tEQMIJ aUvDhG";"472.343.654-65";2580857;"ABANDONO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bNUrkK BtWHQw KqVuqP";"550.438.362-07";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BNUsNe mJsENh dxjnUs";"138.970.897-92";2649719;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BnVLIt MuDdqc NKOldM";"644.847.571-79";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bOHlQH ZElwCn ePLVkq";"187.226.437-09";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BOouey NDHegt FBWUPc";"967.597.025-36";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bOuyYy fTNufy PVhZBO";"338.827.530-76";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bOwNsE tjVhKp FrKLJH";"229.605.289-92";2592443;"DESLIGADO";"GEOGRAFIA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BPEoal SXKzcC wRqdkC";"785.856.882-33";2593332;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bPkjEh mBjkIU ZxkweK";"507.294.791-01";2628198;"EM_CURSO";"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bPmMfj kWOOjN wysySw";"911.533.401-74";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bpQVjd imNZhF gKsnEg";"271.303.223-10";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bptiUW BkQGAg ITXaNL";"735.859.025-58";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BptVKw jRsAyY Thmfby";"593.845.557-15";2638114;"EM_CURSO";"GESTÃO AMBIENTAL";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bqKzrS GriXmY uDGDTp";"723.021.239-59";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bQQFLf brzfkB PgFhOP";"853.207.652-31";2575384;"DESLIGADO";"GESTÃO DE TURISMO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bqruwU XCWuvY ZQPqoN";"108.137.114-74";2636508;"EM_CURSO";"GESTÃO DE TURISMO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BqWhLE sdXlQo XIZGQv";"790.727.243-02";2640319;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BQXqLO XxxoZx irYsrP";"531.211.899-28";2635631;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BqyLwl pmBjdi jgxIdK";"533.884.642-21";2640323;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bRfgFj ioPkVT vgRtTL";"226.506.414-00";2645642;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BsIOgo YfrBFV hanUcH";"007.316.248-39";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BsIOgo YfrBFV hanUcH";"007.316.248-39";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"BsXzqt fzepFe nIwuoB";"817.110.357-24";2649719;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bTAdeu zcLxDj nLzbsH";"129.860.767-64";2592416;"DESLIGADO";"GESTÃO AMBIENTAL";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"bTAVBs NvNdPP UsWHqj";"024.945.977-66";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"btBaeo xpZxRG azYEAP";"773.705.966-05";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"btqjxC HrMqyK pQlXZD";"539.322.218-97";2593332;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
